Module_accession	% completeness	pathway_name	pathway_class	matching_KO	missing_KO
M00545	21.43	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	2	4
M00076	20.0	Dermatan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	1	4
M00099	20.0	Sphingosine biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	2	5
M00156	20.0	Cytochrome c oxidase, cbb3-type	Pathway modules; Energy metabolism; ATP synthesis	1	2
M00372	20.0	Abscisic acid biosynthesis, beta-carotene => abscisic acid	Pathway modules; Biosynthesis of terpenoids and polyketides; Other terpenoid biosynthesis	1	4
M00550	20.0	Ascorbate degradation, ascorbate => D-xylulose-5P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	1	6
M00055	19.23	N-glycan precursor biosynthesis	Pathway modules; Glycan metabolism; Glycan biosynthesis	3	10
M00357	16.67	Methanogenesis, acetate => methane	Pathway modules; Energy metabolism; Methane metabolism	1	14
M00529	16.67	Denitrification, nitrate => nitrogen	Pathway modules; Energy metabolism; Nitrogen metabolism	2	7
M00696	16.67	Multidrug resistance, efflux pump AcrEF-TolC	Signature modules; Gene set; Drug resistance	1	3
M00697	16.67	Multidrug resistance, efflux pump MdtEF-TolC	Signature modules; Gene set; Drug resistance	1	3
M00718	16.67	Multidrug resistance, efflux pump MexAB-OprM	Signature modules; Gene set; Drug resistance	1	3
M00789	16.67	Rebeccamycin biosynthesis, tryptophan => rebeccamycin	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other secondary metabolites	1	6
M00804	16.67	Complete nitrification, comammox, ammonia => nitrite => nitrate	Pathway modules; Energy metabolism; Nitrogen metabolism	1	5
M00147	15.38	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	Pathway modules; Energy metabolism; ATP synthesis	2	11
M00160	15.38	V-type ATPase, eukaryotes	Pathway modules; Energy metabolism; ATP synthesis	2	11
M00142	14.29	NADH	Pathway modules; Energy metabolism; ATP synthesis	1	6
M00030	12.5	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	1	7
M00113	12.5	Jasmonic acid biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	1	7
M00673	12.5	Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C	Pathway modules; Biosynthesis of other secondary metabolites; beta-Lactam biosynthesis	1	7
M00779	12.5	Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin	Pathway modules; Biosynthesis of terpenoids and polyketides; Type II polyketide biosynthesis	1	6
M00039	10.0	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other secondary metabolites	1	11
M00104	8.33	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	Pathway modules; Lipid metabolism; Sterol biosynthesis	1	11
M00848	3.12	Aurachin biosynthesis, anthranilate => aurachin A	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other secondary metabolites	1	10
M00065	2.08	GPI-anchor biosynthesis, core oligosaccharide	Pathway modules; Glycan metabolism; Glycan biosynthesis	2	15
