#target name                                          accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#---------------------------------------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
ERZ477576.246657-NODE-246657-length-390-cov-2.9791    -         SSU_rRNA_bacteria    RF00177   hmm      335      590       11      247      +     -    6 0.47   0.0   19.9    0.0078 !   -
ERZ477576.34502-NODE-34502-length-1084-cov-3.74052    -         SSU_rRNA_bacteria    RF00177   hmm        4       49       47        2      -     -    6 0.54   0.0   19.5      0.01 ?   -
ERZ477576.71632-NODE-71632-length-725-cov-3.32836     -         SSU_rRNA_bacteria    RF00177   hmm        4       49       47        2      -     -    6 0.54   0.0   19.5      0.01 ?   -
ERZ477576.1084903-NODE-1084903-length-126-cov-42.2535 -         SSU_rRNA_bacteria    RF00177   hmm     1489     1532        1       44      +     -    6 0.55   0.0   18.9     0.016 ?   -
ERZ477576.821125-NODE-821125-length-228-cov-112.474   -         SSU_rRNA_bacteria    RF00177   hmm     1491     1532        1       42      +     -    6 0.57   0.0   16.1      0.11 ?   -
ERZ477576.363588-NODE-363588-length-325-cov-3.99259   -         SSU_rRNA_bacteria    RF00177   hmm        4       42      287      325      +     -    6 0.51   0.0   14.9      0.26 ?   -
ERZ477576.1092263-NODE-1092263-length-100-cov-4.93333 -         SSU_rRNA_bacteria    RF00177   hmm        4       43       60       99      +     -    6 0.47   0.0   14.4      0.36 ?   -
ERZ477576.55884-NODE-55884-length-827-cov-2.45596     -         SSU_rRNA_bacteria    RF00177   hmm        4       41       38        1      -     -    6 0.55   0.0   13.6      0.64 ?   -
ERZ477576.519271-NODE-519271-length-278-cov-0.874439  -         SSU_rRNA_bacteria    RF00177   hmm      644      765      158      278      +     -    6 0.49   0.0   12.8       1.1 ?   -
#
# Program:         cmsearch
# Version:         1.1.2 (July 2016)
# Pipeline mode:   SEARCH
# Query file:      /hps/nobackup2/production/metagenomics/pipeline/testing/amplicon-test/work-dir/kate/d6546107-b3e0-4285-9cdf-a112ffd69a52/find_ribosomal_ncRNAs/cmsearch/RF00177.cm
# Target file:     /hps/nobackup2/production/metagenomics/pipeline/testing/amplicon-test/work-dir/kate/d6546107-b3e0-4285-9cdf-a112ffd69a52/index_reads/ERZ477576_FASTA.fasta
# Option settings: cmsearch -Z 1000 -o ERZ477576_FASTA.fasta.RF00177.cmsearch.out --tblout ERZ477576_FASTA.fasta.RF00177.cmsearch_matches.tbl --noali --hmmonly /hps/nobackup2/production/metagenomics/pipeline/testing/amplicon-test/work-dir/kate/d6546107-b3e0-4285-9cdf-a112ffd69a52/find_ribosomal_ncRNAs/cmsearch/RF00177.cm /hps/nobackup2/production/metagenomics/pipeline/testing/amplicon-test/work-dir/kate/d6546107-b3e0-4285-9cdf-a112ffd69a52/index_reads/ERZ477576_FASTA.fasta 
# Current dir:     /hps/nobackup2/production/metagenomics/pipeline/testing/amplicon-test/work-dir/kate/d6546107-b3e0-4285-9cdf-a112ffd69a52/find_ribosomal_ncRNAs/cmsearch/scatter2
# Date:            Fri Sep 13 13:46:11 2019
# [ok]
#target name                                          accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#---------------------------------------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
ERZ477576.20-NODE-20-length-51199-cov-120.907         -         SSU_rRNA_archaea     RF01959   hmm        7     1476    41946    40476      -     -    6 0.55   9.4  743.9  9.9e-222 !   -
ERZ477576.2666-NODE-2666-length-5311-cov-42.7479      -         SSU_rRNA_archaea     RF01959   hmm        7     1476     1422     2942      +     -    6 0.49   0.2  671.9  5.7e-200 !   -
ERZ477576.38478-NODE-38478-length-1016-cov-53.2726    -         SSU_rRNA_archaea     RF01959   hmm      446     1448        9     1016      +     -    6 0.56   7.3  531.3  1.7e-157 !   -
ERZ477576.87573-NODE-87573-length-653-cov-9.6204      -         SSU_rRNA_archaea     RF01959   hmm      826     1476        2      651      +     -    6 0.53   0.1  510.7  2.8e-151 !   -
ERZ477576.100905-NODE-100905-length-608-cov-4.84629   -         SSU_rRNA_archaea     RF01959   hmm      826     1433        2      608      +     -    6 0.55   0.9  447.5  3.6e-132 !   -
ERZ477576.107247-NODE-107247-length-589-cov-14.9663   -         SSU_rRNA_archaea     RF01959   hmm      288      879        1      589      +     -    6 0.54   1.9  439.9  6.8e-130 !   -
ERZ477576.30134-NODE-30134-length-1176-cov-21.8635    -         SSU_rRNA_archaea     RF01959   hmm        7      917      917        1      -     -    6 0.50   1.8  400.8  4.7e-118 !   -
ERZ477576.12306-NODE-12306-length-2044-cov-18.0352    -         SSU_rRNA_archaea     RF01959   hmm        8      917      946        1      -     -    6 0.52   5.2  393.5  7.2e-116 !   -
ERZ477576.1769-NODE-1769-length-6637-cov-6.79535      -         SSU_rRNA_archaea     RF01959   hmm        7      905     5699     6637      +     -    6 0.49   0.3  374.6  3.9e-110 !   -
ERZ477576.48948-NODE-48948-length-889-cov-62.2194     -         SSU_rRNA_archaea     RF01959   hmm        8      886      874        4      -     -    6 0.50   1.5  373.0  1.2e-109 !   -
ERZ477576.51086-NODE-51086-length-868-cov-16.4662     -         SSU_rRNA_archaea     RF01959   hmm       81      917        2      868      +     -    6 0.54   8.4  370.0  9.4e-109 !   -
ERZ477576.22781-NODE-22781-length-1391-cov-25.378     -         SSU_rRNA_archaea     RF01959   hmm        8      917      950        1      -     -    6 0.54   8.8  366.1  1.4e-107 !   -
ERZ477576.48209-NODE-48209-length-897-cov-64.2542     -         SSU_rRNA_archaea     RF01959   hmm      823     1476      893      233      -     -    6 0.53   0.1  362.8  1.4e-106 !   -
ERZ477576.33199-NODE-33199-length-1109-cov-30.889     -         SSU_rRNA_archaea     RF01959   hmm       26      874      267     1105      +     -    6 0.48   0.5  350.2  8.6e-103 !   -
ERZ477576.27450-NODE-27450-length-1241-cov-3.64165    -         SSU_rRNA_archaea     RF01959   hmm        7      757      445     1241      +     -    6 0.47   0.0  308.0     5e-90 !   -
ERZ477576.103134-NODE-103134-length-601-cov-46.8242   -         SSU_rRNA_archaea     RF01959   hmm      446     1035      593        1      -     -    6 0.52   0.6  307.2   8.9e-90 !   -
ERZ477576.73874-NODE-73874-length-713-cov-370.74      -         SSU_rRNA_archaea     RF01959   hmm      343     1035        3      713      +     -    6 0.47   0.1  307.1   9.2e-90 !   -
ERZ477576.93972-NODE-93972-length-630-cov-11.5148     -         SSU_rRNA_archaea     RF01959   hmm      297      909        6      629      +     -    6 0.54   4.4  296.8   1.2e-86 !   -
ERZ477576.84476-NODE-84476-length-665-cov-41.0885     -         SSU_rRNA_archaea     RF01959   hmm      296      935       11      655      +     -    6 0.50   0.9  295.0   4.1e-86 !   -
ERZ477576.57925-NODE-57925-length-811-cov-8.15476     -         SSU_rRNA_archaea     RF01959   hmm        7      756      800        1      -     -    6 0.47   0.0  293.8   9.7e-86 !   -
ERZ477576.101829-NODE-101829-length-605-cov-31.2073   -         SSU_rRNA_archaea     RF01959   hmm      299      887        6      603      +     -    6 0.55   4.5  278.9     3e-81 !   -
ERZ477576.139883-NODE-139883-length-515-cov-80.0935   -         SSU_rRNA_archaea     RF01959   hmm      868     1372      513       13      -     -    6 0.53   0.1  269.5   2.1e-78 !   -
ERZ477576.108716-NODE-108716-length-585-cov-18.7358   -         SSU_rRNA_archaea     RF01959   hmm      424      917      487        1      -     -    6 0.54   2.4  268.9   3.3e-78 !   -
ERZ477576.28935-NODE-28935-length-1204-cov-18.0653    -         SSU_rRNA_archaea     RF01959   hmm     1000     1476     1203      720      -     -    6 0.54   0.1  266.9   1.3e-77 !   -
ERZ477576.46792-NODE-46792-length-912-cov-3.17386     -         SSU_rRNA_archaea     RF01959   hmm        7      716      759        1      -     -    6 0.53   3.9  258.5   4.5e-75 !   -
ERZ477576.6135-NODE-6135-length-3168-cov-30.0601      -         SSU_rRNA_archaea     RF01959   hmm     1003     1476        1      476      +     -    6 0.54   0.0  257.9   7.1e-75 !   -
ERZ477576.148405-NODE-148405-length-500-cov-71.3371   -         SSU_rRNA_archaea     RF01959   hmm      868     1368        3      499      +     -    6 0.53   0.0  256.8   1.5e-74 !   -
ERZ477576.175574-NODE-175574-length-460-cov-9.44938   -         SSU_rRNA_archaea     RF01959   hmm      446      905      452        1      -     -    6 0.55   2.9  254.6   6.8e-74 !   -
ERZ477576.155182-NODE-155182-length-489-cov-66.0392   -         SSU_rRNA_archaea     RF01959   hmm      868     1354      487        2      -     -    6 0.52   0.0  253.8   1.2e-73 !   -
ERZ477576.99584-NODE-99584-length-612-cov-107.668     -         SSU_rRNA_archaea     RF01959   hmm      300      873        3      612      +     -    6 0.50   1.1  253.6   1.4e-73 !   -
ERZ477576.111756-NODE-111756-length-577-cov-21.59     -         SSU_rRNA_archaea     RF01959   hmm      348      879        4      571      +     -    6 0.51   1.3  244.7   6.8e-71 !   -
ERZ477576.185925-NODE-185925-length-447-cov-67.2857   -         SSU_rRNA_archaea     RF01959   hmm      850     1300        1      447      +     -    6 0.52   0.0  227.0   1.5e-65 !   -
ERZ477576.203168-NODE-203168-length-428-cov-4.82306   -         SSU_rRNA_archaea     RF01959   hmm     1000     1374        2      370      +     -    6 0.53   0.0  225.3   4.9e-65 !   -
ERZ477576.196649-NODE-196649-length-435-cov-19.2553   -         SSU_rRNA_archaea     RF01959   hmm      467      905        1      435      +     -    6 0.47   0.1  217.5   1.1e-62 !   -
ERZ477576.29424-NODE-29424-length-1193-cov-3.43409    -         SSU_rRNA_archaea     RF01959   hmm        2      342      859     1193      +     -    6 0.57   0.2  217.4   1.2e-62 !   -
ERZ477576.291799-NODE-291799-length-360-cov-9.42295   -         SSU_rRNA_archaea     RF01959   hmm     1002     1367        2      358      +     -    6 0.53   0.0  205.0   6.7e-59 !   -
ERZ477576.144909-NODE-144909-length-506-cov-69.0976   -         SSU_rRNA_archaea     RF01959   hmm      300      762        3      505      +     -    6 0.50   0.7  203.0   2.6e-58 !   -
ERZ477576.89408-NODE-89408-length-646-cov-5.41794     -         SSU_rRNA_archaea     RF01959   hmm      607     1061      510       45      -     -    6 0.45   0.0  202.9   2.9e-58 !   -
ERZ477576.3942-NODE-3942-length-4166-cov-3.90246      -         SSU_rRNA_archaea     RF01959   hmm        2      342      326        1      -     -    6 0.56   0.3  202.6   3.4e-58 !   -
ERZ477576.51337-NODE-51337-length-866-cov-3.65475     -         SSU_rRNA_archaea     RF01959   hmm        2      342      541      866      +     -    6 0.55   0.2  202.3   4.3e-58 !   -
ERZ477576.342792-NODE-342792-length-334-cov-37.3333   -         SSU_rRNA_archaea     RF01959   hmm     1002     1360      333        5      -     -    6 0.56   0.0  201.0   1.1e-57 !   -
ERZ477576.226629-NODE-226629-length-406-cov-3.88319   -         SSU_rRNA_archaea     RF01959   hmm      845     1250        1      405      +     -    6 0.53   0.3  201.0   1.1e-57 !   -
ERZ477576.209169-NODE-209169-length-422-cov-3.77112   -         SSU_rRNA_archaea     RF01959   hmm     1030     1448      422        1      -     -    6 0.57   0.3  198.9   4.5e-57 !   -
ERZ477576.166832-NODE-166832-length-472-cov-2.60671   -         SSU_rRNA_archaea     RF01959   hmm      299      752      470        2      -     -    6 0.55   2.6  195.9   3.8e-56 !   -
ERZ477576.169683-NODE-169683-length-468-cov-5.53995   -         SSU_rRNA_archaea     RF01959   hmm      297      744      463        1      -     -    6 0.59   6.5  183.7   1.9e-52 !   -
ERZ477576.84563-NODE-84563-length-665-cov-2.15738     -         SSU_rRNA_archaea     RF01959   hmm      258      872      637       14      -     -    6 0.39   0.0  183.6   1.9e-52 !   -
ERZ477576.67471-NODE-67471-length-748-cov-5.19048     -         SSU_rRNA_archaea     RF01959   hmm        7      524      163      746      +     -    6 0.51   0.2  171.4   9.3e-49 !   -
ERZ477576.516073-NODE-516073-length-278-cov-11.1166   -         SSU_rRNA_archaea     RF01959   hmm     1108     1372      277       13      -     -    6 0.55   0.1  165.9   4.2e-47 !   -
ERZ477576.550484-NODE-550484-length-270-cov-20.4186   -         SSU_rRNA_archaea     RF01959   hmm     1102     1368      269        2      -     -    6 0.56   0.1  164.9   8.7e-47 !   -
ERZ477576.400850-NODE-400850-length-311-cov-17.6953   -         SSU_rRNA_archaea     RF01959   hmm      461      770      311        3      -     -    6 0.50   0.1  157.4   1.5e-44 !   -
ERZ477576.432642-NODE-432642-length-301-cov-1.44309   -         SSU_rRNA_archaea     RF01959   hmm      701      940      299       63      -     -    6 0.54   0.1  147.9   1.2e-41 !   -
ERZ477576.112229-NODE-112229-length-576-cov-4.77159   -         SSU_rRNA_archaea     RF01959   hmm     1186     1476      575      284      -     -    6 0.50   0.0  141.4   1.1e-39 !   -
ERZ477576.916231-NODE-916231-length-219-cov-1.10976   -         SSU_rRNA_archaea     RF01959   hmm      556      769      216        4      -     -    6 0.52   0.1  138.7   7.1e-39 !   -
ERZ477576.781180-NODE-781180-length-233-cov-1.02809   -         SSU_rRNA_archaea     RF01959   hmm      471      703        1      232      +     -    6 0.52   0.0  136.7   2.9e-38 !   -
ERZ477576.811951-NODE-811951-length-229-cov-3.0977    -         SSU_rRNA_archaea     RF01959   hmm     1137     1365        1      228      +     -    6 0.56   0.0  134.4   1.4e-37 !   -
ERZ477576.412782-NODE-412782-length-307-cov-3.09921   -         SSU_rRNA_archaea     RF01959   hmm      881     1185        4      307      +     -    6 0.53   0.0  131.0   1.6e-36 !   -
ERZ477576.343010-NODE-343010-length-334-cov-2.36559   -         SSU_rRNA_archaea     RF01959   hmm     1214     1476      328       57      -     -    6 0.52   0.0  130.7   1.9e-36 !   -
ERZ477576.564133-NODE-564133-length-267-cov-84.4811   -         SSU_rRNA_archaea     RF01959   hmm     1103     1368      266        2      -     -    6 0.52   0.0  129.2   5.4e-36 !   -
ERZ477576.8325-NODE-8325-length-2620-cov-8.81598      -         SSU_rRNA_archaea     RF01959   hmm        8      492     2114     2615      +     -    6 0.52   0.4  127.0   2.4e-35 !   -
ERZ477576.465890-NODE-465890-length-291-cov-19.6398   -         SSU_rRNA_archaea     RF01959   hmm      473      762        2      290      +     -    6 0.45   0.0  126.4   3.8e-35 !   -
ERZ477576.776224-NODE-776224-length-233-cov-9.70787   -         SSU_rRNA_archaea     RF01959   hmm     1137     1368        2      232      +     -    6 0.58   0.0  126.3     4e-35 !   -
ERZ477576.7782-NODE-7782-length-2735-cov-72.1049      -         SSU_rRNA_archaea     RF01959   hmm        8      389     2365     2729      +     -    6 0.50   0.0  125.8   5.5e-35 !   -
ERZ477576.82341-NODE-82341-length-674-cov-3.23102     -         SSU_rRNA_archaea     RF01959   hmm        7      344      335        3      -     -    6 0.54   0.2  124.8   1.1e-34 !   -
ERZ477576.272179-NODE-272179-length-372-cov-22.9401   -         SSU_rRNA_archaea     RF01959   hmm      300      650        3      368      +     -    6 0.56   1.8  124.6   1.3e-34 !   -
ERZ477576.174794-NODE-174794-length-461-cov-142.579   -         SSU_rRNA_archaea     RF01959   hmm        8      389       91      455      +     -    6 0.51   0.1  123.1   3.7e-34 !   -
ERZ477576.564234-NODE-564234-length-267-cov-3.17453   -         SSU_rRNA_archaea     RF01959   hmm      563      831      265        1      -     -    6 0.48   0.0  123.0   3.9e-34 !   -
ERZ477576.225439-NODE-225439-length-407-cov-28.8949   -         SSU_rRNA_archaea     RF01959   hmm     1245     1476      407      163      -     -    6 0.57   0.0  123.0   4.1e-34 !   -
ERZ477576.4856-NODE-4856-length-3642-cov-5.57708      -         SSU_rRNA_archaea     RF01959   hmm        7      338     3295     3640      +     -    6 0.48   0.0  122.8   4.5e-34 !   -
ERZ477576.652776-NODE-652776-length-250-cov-6.31282   -         SSU_rRNA_archaea     RF01959   hmm      796     1035        3      248      +     -    6 0.55   0.0  121.8   9.1e-34 !   -
ERZ477576.555167-NODE-555167-length-269-cov-2.43458   -         SSU_rRNA_archaea     RF01959   hmm     1194     1450      269        2      -     -    6 0.59   0.1  121.1   1.5e-33 !   -
ERZ477576.784680-NODE-784680-length-232-cov-31.4181   -         SSU_rRNA_archaea     RF01959   hmm     1137     1368        1      231      +     -    6 0.53   0.0  120.8   1.8e-33 !   -
ERZ477576.812766-NODE-812766-length-229-cov-1.79885   -         SSU_rRNA_archaea     RF01959   hmm     1115     1338      226        3      -     -    6 0.56   0.1  119.1   5.9e-33 !   -
ERZ477576.49548-NODE-49548-length-883-cov-4.22947     -         SSU_rRNA_archaea     RF01959   hmm        7      338      347        3      -     -    6 0.49   0.0  119.0   6.2e-33 !   -
ERZ477576.191247-NODE-191247-length-441-cov-34.158    -         SSU_rRNA_archaea     RF01959   hmm        7      348      365        5      -     -    6 0.50   0.0  117.3   2.1e-32 !   -
ERZ477576.546102-NODE-546102-length-271-cov-4.15741   -         SSU_rRNA_archaea     RF01959   hmm      473      743        2      271      +     -    6 0.53   0.3  117.0   2.5e-32 !   -
ERZ477576.629272-NODE-629272-length-254-cov-22.2312   -         SSU_rRNA_archaea     RF01959   hmm     1040     1300      254        1      -     -    6 0.54   0.0  117.0   2.6e-32 !   -
ERZ477576.677958-NODE-677958-length-246-cov-31.9215   -         SSU_rRNA_archaea     RF01959   hmm     1249     1476        3      239      +     -    6 0.54   0.0  116.8   2.9e-32 !   -
ERZ477576.1035456-NODE-1035456-length-208-cov-8.69935 -         SSU_rRNA_archaea     RF01959   hmm      691      900        3      208      +     -    6 0.54   0.1  116.8     3e-32 !   -
ERZ477576.49743-NODE-49743-length-881-cov-30.6707     -         SSU_rRNA_archaea     RF01959   hmm     1249     1476        3      239      +     -    6 0.54   0.0  115.9   5.6e-32 !   -
ERZ477576.737126-NODE-737126-length-238-cov-1.47541   -         SSU_rRNA_archaea     RF01959   hmm      981     1230        4      237      +     -    6 0.51   0.0  115.8   5.8e-32 !   -
ERZ477576.163197-NODE-163197-length-477-cov-9.62559   -         SSU_rRNA_archaea     RF01959   hmm     1249     1476        3      239      +     -    6 0.54   0.0  115.7   6.3e-32 !   -
ERZ477576.338634-NODE-338634-length-336-cov-3.10676   -         SSU_rRNA_archaea     RF01959   hmm      808     1058       65      314      +     -    6 0.49   0.0  115.4   7.7e-32 !   -
ERZ477576.310243-NODE-310243-length-350-cov-2.68136   -         SSU_rRNA_archaea     RF01959   hmm        8      338      348        3      -     -    6 0.48   0.0  114.8   1.1e-31 !   -
ERZ477576.22679-NODE-22679-length-1395-cov-34.8328    -         SSU_rRNA_archaea     RF01959   hmm     1249     1476        3      239      +     -    6 0.53   0.0  114.4   1.6e-31 !   -
ERZ477576.573272-NODE-573272-length-265-cov-93.7048   -         SSU_rRNA_archaea     RF01959   hmm      834     1082        1      253      +     -    6 0.51   0.0  112.8   4.6e-31 !   -
ERZ477576.266219-NODE-266219-length-376-cov-60.1277   -         SSU_rRNA_archaea     RF01959   hmm     1246     1476      376      145      -     -    6 0.56   0.0  112.7     5e-31 !   -
ERZ477576.44808-NODE-44808-length-933-cov-5.70159     -         SSU_rRNA_archaea     RF01959   hmm        7      338      349        3      -     -    6 0.49   0.0  112.5   5.8e-31 !   -
ERZ477576.51753-NODE-51753-length-862-cov-8.89095     -         SSU_rRNA_archaea     RF01959   hmm        7      345      322        4      -     -    6 0.54   0.2  111.3   1.3e-30 !   -
ERZ477576.832134-NODE-832134-length-227-cov-1.5407    -         SSU_rRNA_archaea     RF01959   hmm     1028     1255        4      225      +     -    6 0.57   0.1  111.2   1.5e-30 !   -
ERZ477576.27627-NODE-27627-length-1236-cov-12.011     -         SSU_rRNA_archaea     RF01959   hmm     1247     1476     1235      997      -     -    6 0.55   0.0  110.2     3e-30 !   -
ERZ477576.559485-NODE-559485-length-268-cov-84.5446   -         SSU_rRNA_archaea     RF01959   hmm      890     1154        2      267      +     -    6 0.52   0.0  110.0   3.4e-30 !   -
ERZ477576.546091-NODE-546091-length-271-cov-4.93519   -         SSU_rRNA_archaea     RF01959   hmm      473      743      270        1      -     -    6 0.50   0.1  109.4   5.1e-30 !   -
ERZ477576.111761-NODE-111761-length-577-cov-12.023    -         SSU_rRNA_archaea     RF01959   hmm        7      338      314        3      -     -    6 0.56   0.4  108.3   1.1e-29 !   -
ERZ477576.117634-NODE-117634-length-563-cov-1.26181   -         SSU_rRNA_archaea     RF01959   hmm        7      311      247      562      +     -    6 0.49   0.0  107.8   1.6e-29 !   -
ERZ477576.618534-NODE-618534-length-256-cov-2.25373   -         SSU_rRNA_archaea     RF01959   hmm     1184     1392        1      209      +     -    6 0.52   0.0  105.4   8.1e-29 !   -
ERZ477576.554960-NODE-554960-length-269-cov-106.164   -         SSU_rRNA_archaea     RF01959   hmm      892     1156        2      269      +     -    6 0.53   0.0  103.5   3.1e-28 !   -
ERZ477576.679082-NODE-679082-length-246-cov-1.65969   -         SSU_rRNA_archaea     RF01959   hmm      433      675      245        4      -     -    6 0.55   0.2  102.5   6.4e-28 !   -
ERZ477576.1398-NODE-1398-length-7523-cov-11.0457      -         SSU_rRNA_archaea     RF01959   hmm       29      348     7178     7519      +     -    6 0.54   0.3  101.7   1.1e-27 !   -
ERZ477576.1075753-NODE-1075753-length-180-cov-3.488   -         SSU_rRNA_archaea     RF01959   hmm      711      896        2      179      +     -    6 0.52   0.1   98.7   8.4e-27 !   -
ERZ477576.1067645-NODE-1067645-length-206-cov-1.03311 -         SSU_rRNA_archaea     RF01959   hmm      618      825      204        2      -     -    6 0.55   0.1   97.9   1.5e-26 !   -
ERZ477576.187609-NODE-187609-length-445-cov-47.0615   -         SSU_rRNA_archaea     RF01959   hmm        8      338      105      444      +     -    6 0.54   0.2   97.5     2e-26 !   -
ERZ477576.1073232-NODE-1073232-length-201-cov-2.88356 -         SSU_rRNA_archaea     RF01959   hmm     1137     1335        2      200      +     -    6 0.56   0.0   97.2   2.5e-26 !   -
ERZ477576.1048116-NODE-1048116-length-207-cov-2.15789 -         SSU_rRNA_archaea     RF01959   hmm     1038     1253      206        2      -     -    6 0.47   0.0   96.0   5.9e-26 !   -
ERZ477576.443545-NODE-443545-length-298-cov-1.11111   -         SSU_rRNA_archaea     RF01959   hmm      218      493        1      294      +     -    6 0.52   0.0   95.7   7.2e-26 !   -
ERZ477576.23714-NODE-23714-length-1356-cov-17.9716    -         SSU_rRNA_archaea     RF01959   hmm        7      318     1059     1351      +     -    6 0.55   0.1   95.0   1.1e-25 !   -
ERZ477576.24731-NODE-24731-length-1323-cov-27.8738    -         SSU_rRNA_archaea     RF01959   hmm       37      338      299        3      -     -    6 0.49   0.0   94.1   2.1e-25 !   -
ERZ477576.620564-NODE-620564-length-256-cov-1.24876   -         SSU_rRNA_archaea     RF01959   hmm       86      357      255        3      -     -    6 0.51   0.0   93.1   4.4e-25 !   -
ERZ477576.206230-NODE-206230-length-425-cov-2.23514   -         SSU_rRNA_archaea     RF01959   hmm      147      516      422        2      -     -    6 0.50   0.1   92.8   5.2e-25 !   -
ERZ477576.699972-NODE-699972-length-243-cov-1.47872   -         SSU_rRNA_archaea     RF01959   hmm       77      287      221        4      -     -    6 0.53   0.0   92.7   5.7e-25 !   -
ERZ477576.299207-NODE-299207-length-356-cov-2.09967   -         SSU_rRNA_archaea     RF01959   hmm     1207     1473       25      323      +     -    6 0.47   0.0   92.4   6.9e-25 !   -
ERZ477576.455280-NODE-455280-length-294-cov-3.59414   -         SSU_rRNA_archaea     RF01959   hmm       27      291      281        3      -     -    6 0.47   0.0   89.7   4.6e-24 !   -
ERZ477576.462300-NODE-462300-length-292-cov-24.8228   -         SSU_rRNA_archaea     RF01959   hmm       10      318        2      287      +     -    6 0.57   0.1   89.4   5.7e-24 !   -
ERZ477576.1079225-NODE-1079225-length-157-cov-11.6961 -         SSU_rRNA_archaea     RF01959   hmm      720      874        1      154      +     -    6 0.50   0.0   87.1   2.8e-23 !   -
ERZ477576.1079200-NODE-1079200-length-157-cov-22.6373 -         SSU_rRNA_archaea     RF01959   hmm      719      874        2      154      +     -    6 0.51   0.0   86.5   4.1e-23 !   -
ERZ477576.29674-NODE-29674-length-1187-cov-3.40283    -         SSU_rRNA_archaea     RF01959   hmm        7      318      311        6      -     -    6 0.52   0.1   86.1   5.8e-23 !   -
ERZ477576.1079815-NODE-1079815-length-154-cov-15.2323 -         SSU_rRNA_archaea     RF01959   hmm      724      874      153        4      -     -    6 0.49   0.0   85.4   9.3e-23 !   -
ERZ477576.1079790-NODE-1079790-length-154-cov-49.2626 -         SSU_rRNA_archaea     RF01959   hmm      710      868        2      153      +     -    6 0.51   0.0   83.5   3.3e-22 !   -
ERZ477576.357132-NODE-357132-length-328-cov-1.48718   -         SSU_rRNA_archaea     RF01959   hmm     1166     1465      325        2      -     -    6 0.35   0.0   81.3   1.6e-21 !   -
ERZ477576.469475-NODE-469475-length-290-cov-4.02979   -         SSU_rRNA_archaea     RF01959   hmm      199      424      276       61      -     -    6 0.54   0.1   81.2   1.7e-21 !   -
ERZ477576.559564-NODE-559564-length-268-cov-3.24413   -         SSU_rRNA_archaea     RF01959   hmm        7      255       13      267      +     -    6 0.51   0.0   80.9   2.1e-21 !   -
ERZ477576.503698-NODE-503698-length-281-cov-3.99558   -         SSU_rRNA_archaea     RF01959   hmm       10      288        2      272      +     -    6 0.56   0.2   78.8   8.7e-21 !   -
ERZ477576.1079658-NODE-1079658-length-155-cov-50.07   -         SSU_rRNA_archaea     RF01959   hmm     1000     1157      154        5      -     -    6 0.56   0.0   75.7   7.8e-20 !   -
ERZ477576.546051-NODE-546051-length-271-cov-253.181   -         SSU_rRNA_archaea     RF01959   hmm     1312     1476      267      104      -     -    6 0.55   0.0   75.5     9e-20 !   -
ERZ477576.1073460-NODE-1073460-length-198-cov-49.7063 -         SSU_rRNA_archaea     RF01959   hmm      852     1035        3      196      +     -    6 0.58   0.0   75.3     1e-19 !   -
ERZ477576.16099-NODE-16099-length-1731-cov-18.472     -         SSU_rRNA_archaea     RF01959   hmm     1312     1476        3      176      +     -    6 0.63   0.2   74.7   1.6e-19 !   -
ERZ477576.35705-NODE-35705-length-1062-cov-36.4359    -         SSU_rRNA_archaea     RF01959   hmm     1304     1476     1059      878      -     -    6 0.58   0.0   74.6   1.6e-19 !   -
ERZ477576.46272-NODE-46272-length-917-cov-8.60557     -         SSU_rRNA_archaea     RF01959   hmm     1315     1476      917      747      -     -    6 0.57   0.0   73.2   4.5e-19 !   -
ERZ477576.203856-NODE-203856-length-428-cov-1.10724   -         SSU_rRNA_archaea     RF01959   hmm      805      935      145       16      -     -    6 0.52   0.0   72.6   6.8e-19 !   -
ERZ477576.153329-NODE-153329-length-492-cov-84.9268   -         SSU_rRNA_archaea     RF01959   hmm     1312     1476        5      168      +     -    6 0.54   0.0   72.6   6.9e-19 !   -
ERZ477576.1074477-NODE-1074477-length-190-cov-13.7556 -         SSU_rRNA_archaea     RF01959   hmm     1304     1476        4      185      +     -    6 0.54   0.0   71.7   1.3e-18 !   -
ERZ477576.363640-NODE-363640-length-325-cov-2.78889   -         SSU_rRNA_archaea     RF01959   hmm        7      246       74      324      +     -    6 0.55   0.1   71.4   1.5e-18 !   -
ERZ477576.79387-NODE-79387-length-687-cov-65.1408     -         SSU_rRNA_archaea     RF01959   hmm     1317     1476        1      159      +     -    6 0.55   0.0   71.1   1.9e-18 !   -
ERZ477576.209130-NODE-209130-length-422-cov-158.054   -         SSU_rRNA_archaea     RF01959   hmm     1317     1476        1      159      +     -    6 0.55   0.0   71.1   1.9e-18 !   -
ERZ477576.1077371-NODE-1077371-length-168-cov-38.2124 -         SSU_rRNA_archaea     RF01959   hmm     1017     1190        1      167      +     -    6 0.56   0.0   70.6   2.6e-18 !   -
ERZ477576.1083415-NODE-1083415-length-134-cov-30.5316 -         SSU_rRNA_archaea     RF01959   hmm      710      847        2      133      +     -    6 0.54   0.0   70.5   2.9e-18 !   -
